Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,Y/Tgt
79,DeVante Parker,NWE,30,WR,13,13,55,33,394,0,7.2
80,Rashod Bateman,BAL,24,WR,16,12,56,32,367,1,6.6
81,Alec Pierce,IND,23,WR,17,16,65,32,514,2,7.9
82,Darnell Mooney,CHI,26,WR,15,14,61,31,414,1,6.8
83,Brandon Powell,MIN,28,WR,17,2,44,29,324,1,7.4
84,JuJu Smith-Schuster,NWE,27,WR,11,7,47,29,260,1,5.5
85,Christian Watson,GNB,24,WR,9,9,53,28,422,5,8
86,Nick Westbrook-Ikhine,TEN,26,WR,14,9,45,28,370,3,8.2
87,Braxton Berrios,MIA,28,WR,16,1,33,27,238,1,7.2
88,Kadarius Toney,KAN,24,WR,13,2,38,27,169,1,4.4
89,Justin Watson,KAN,28,WR,16,8,53,27,460,3,8.7
90,Demarcus Robinson,LAR,29,WR,16,4,39,26,371,4,9.5
91,Trenton Irwin,CIN,28,WR,16,5,32,25,316,1,9.9
92,Hunter Renfrow,LVR,28,WR,17,3,37,25,255,0,6.9
93,Greg Dortch,ARI,25,WR,16,4,41,24,280,2,6.8
94,Jameson Williams,DET,22,WR,12,10,42,24,354,2,8.4
95,Jalin Hyatt,NYG,22,WR,17,7,40,23,373,0,9.3
96,Allen Lazard,NYJ,28,WR,14,12,49,23,311,1,6.3
97,Marvin Mims*,DEN,21,WR,16,7,33,22,377,1,11.4
98,Chris Moore,TEN,30,WR,17,5,35,22,424,0,12.1
99,Jalen Tolbert,DAL,24,WR,17,6,36,22,268,2,7.4
100,Cedrick Wilson Jr.,MIA,28,WR,15,3,38,22,296,3,7.8
101,Xavier Gipson,NYJ,22,WR,17,3,38,21,229,0,6
102,Isaiah Hodgins,NYG,25,WR,17,9,33,21,230,3,7
103,Skyy Moore,KAN,23,WR,14,8,38,21,244,1,6.4
104,Cedric Tillman,CLE,23,WR,14,3,44,21,224,0,5.1
105,Marquez Valdes-Scantling,KAN,29,WR,16,10,42,21,315,1,7.5
106,Parris Campbell,NYG,26,WR,12,3,27,20,104,0,3.9
107,Van Jefferson,2TM,27,WR,17,9,43,20,209,0,4.9
108,Jake Bobo,SEA,25,WR,17,0,25,19,196,2,7.8
109,Jauan Jennings,SFO,26,WR,13,2,33,19,265,1,8
110,Brandon Johnson,DEN,25,WR,13,2,30,19,284,4,9.5
111,Terrace Marshall Jr.,CAR,23,WR,9,4,33,19,139,0,4.2
112,Tre Tucker,LVR,22,WR,16,1,34,19,331,2,9.7
113,Mike Williams,LAC,29,WR,3,3,26,19,249,1,9.6
114,Mack Hollins,ATL,30,WR,13,3,30,18,251,0,8.4
115,Calvin Austin,PIT,24,WR,17,1,30,17,180,1,6
116,Tyler Scott,CHI,22,WR,17,4,32,17,168,0,5.3
117,Deven Thompkins,TAM,24,WR,17,1,25,17,83,1,3.3
118,Treylon Burks,TEN,23,WR,11,9,30,16,221,0,7.4
119,Jamison Crowder,WAS,30,WR,17,0,20,16,159,1,8
120,Alex Erickson,LAC,31,WR,8,3,29,16,232,1,8
121,Bo Melton,GNB,24,WR,5,1,24,16,218,1,9.1
122,John Metchie,HOU,23,WR,16,0,30,16,158,0,5.3
123,Parker Washington,JAX,21,WR,9,1,21,16,132,2,6.3
124,Derius Davis,LAC,23,WR,17,2,17,15,66,0,3.9
125,Mecole Hardman,2TM,25,WR,11,2,24,15,124,0,5.2
126,Deonte Harty,BUF,26,WR,16,1,21,15,150,1,7.1
127,Malik Heath,GNB,23,WR,13,1,24,15,125,1,5.2
128,Andrei Iosivas,CIN,24,WR,16,1,25,15,116,4,4.6
129,Kyle Philips,TEN,24,WR,9,0,22,15,181,0,8.2
130,Quez Watkins,PHI,25,WR,9,5,21,15,142,1,6.8
131,Jamal Agnew,JAX,28,WR,11,1,21,14,225,1,10.7
132,David Bell,CLE,23,WR,15,3,23,14,167,3,7.3
133,KhaDarel Hodge,ATL,28,WR,17,4,23,14,232,0,10.1
134,Byron Pringle,WAS,30,WR,17,1,22,14,161,0,7.3
135,Lil'Jordan Humphrey,DEN,25,WR,17,8,19,13,162,3,8.5
136,Donovan Peoples-Jones,2TM,24,WR,15,6,25,13,155,0,6.2
137,Tyquan Thornton,NWE,23,WR,9,3,23,13,91,0,4
138,Dyami Brown,WAS,24,WR,17,1,23,12,168,1,7.3
139,Ray-Ray McCloud,SFO,27,WR,12,1,15,12,135,0,9
140,A.T. Perry,NOR,24,WR,10,3,18,12,246,4,13.7
141,KaVontae Turpin,DAL,27,WR,16,0,18,12,127,3,7.1
142,Lynn Bowden Jr.,NOR,26,WR,15,3,16,11,83,0,5.2
143,Julio Jones,PHI,34,WR,11,4,19,11,74,3,3.9
144,Tim Jones,JAX,25,WR,17,2,18,11,83,0,4.6
145,Isaiah McKenzie,IND,28,WR,13,2,14,11,82,0,5.9
146,Scott Miller,ATL,26,WR,17,0,16,11,161,2,10.1
147,Trent Sherfield,BUF,27,WR,17,1,22,11,86,1,3.9
148,Jalen Guyton,LAC,26,WR,8,3,21,10,89,1,4.2
149,Richie James,KAN,28,WR,9,1,14,10,114,0,8.1
150,Laviska Shenault Jr.,CAR,25,WR,8,0,10,10,60,0,6
151,Sterling Shepard,NYG,30,WR,15,2,22,10,57,1,2.6
